lemma,pos,ipa,meaning,example,audio,note_ids
consider,,,"cân nhắc, xem xét, suy xét",,4000B1_consider.mp3,1565658228906
destroy,,,"phá huỷ, tàn phá",,4000B1_destroy.mp3,1565658228907
entertain,,,"giải trí, tiêu khiển",,4000B1_entertain.mp3,1565658228908
extra,,,"thừa, thượng hạng, đặc biệt",,4000B1_extra.mp3,1565658228909
goal,,,"bàn thắng, mục đích, mục tiêu",,4000B1_goal.mp3,1565658228910
lie,,,"nói dối, lừa dối",,4000B1_lie.mp3,1565658228911
meat,,,thịt,,4000B1_meat.mp3,1565658228912
opinion,,,"quan điểm, ý kiến, sự đánh giá",,4000B1_opinion.mp3,1565658228913
real,,,"thực tế, có thực, thật (không phải giả)",,4000B1_real.mp3,1565658228914
reflect,,,"phản chiếu, phản xạ, phản ánh",,4000B1_reflect.mp3,1565658228915
regard,,,"coi như, xem như",,4000B1_regard.mp3,1565658228916
serve,,,"phục vụ, phụng sự",,4000B1_serve.mp3,1565658228917
vegetable,,,rau cỏ (noun & adj),,4000B1_vegetable.mp3,1565658228918
war,,,chiến tranh,,4000B1_war.mp3,1565658228919
worth,,,"đáng giá, giá trị",,4000B1_worth.mp3,1565658228920
appear,,,"biểu lộ, hình như, có vẻ",,4000B1_appear.mp3,1565658228921
base,,,"nền tảng, chân đế",,4000B1_base.mp3,1565658228922
brain,,,não,,4000B1_brain.mp3,1565658228923
career,,,sự nghiệp,,4000B1_career.mp3,1565658228924
clerk,,,"giao dịch viên, thư ký, nhân viên",,4000B1_clerk.mp3,1565658228925
effort,,,nỗ lực,,4000B1_effort.mp3,1565658228926
enter,,,đi vào,,4000B1_enter.mp3,1565658228927
excellent,,,xuất sắc,,4000B1_excellent.mp3,1565658228928
hero,,,"anh hùng, người hùng",,4000B1_hero.mp3,1565658228929
hurry,,,vội vàng,,4000B1_hurry.mp3,1565658228930
inform,,,"thông báo, báo tin, cho biết",,4000B1_inform.mp3,1565658228931
later,,,"muộn hơn, sau này",,4000B1_later.mp3,1565658228932
leave,,,"rời đi, bỏ đi",,4000B1_leave.mp3,1565658228933
locate,,,xác định vị trí,,4000B1_locate.mp3,1565658228934
nurse,,,"y tá, nữ y tá",,4000B1_nurse.mp3,1565658228935
operation,,,"sự phẩu thuật, ca mổ",,4000B1_operation.mp3,1565658228936
pain,,,"sự đau, làm đau đớn, đau nhức",,4000B1_pain.mp3,1565658228937
refuse,,,"từ chối, khước từ, cự tuyệt",,4000B1_refuse.mp3,1565658228938
though,,,"cho dù, mặc dù, dẫu cho",,4000B1_though.mp3,1565658228939
various,,,khác nhau; nhiều thứ khác nhau,,4000B1_various.mp3,1565658228940
actual,,,"thực tế, có thật, hiện thời; hiện nay",,4000B1_actual.mp3,1565658228941
amaze,,,"làm kinh ngạc, làm sửng sốt",,4000B1_amaze.mp3,1565658228942
charge,,,"tiền phải trả, giá tiền",,4000B1_charge.mp3,1565658228943
comfort,,,"an ủi, dỗ dành, làm khuây khoả",,4000B1_comfort.mp3,1565658228944
contact,,,"tiếp xúc, liên lạc",,4000B1_contact.mp3,1565658228945
customer,,,khách hàng,,4000B1_customer.mp3,1565658228946
deliver,,,"giao (hàng), phân phát (thư)",,4000B1_deliver.mp3,1565658228947
earn,,,kiếm tiền,,4000B1_earn.mp3,1565658228948
gate,,,"cổng, cửa ra vào",,4000B1_gate.mp3,1565658228949
include,,,"bao gồm, gồm có",,4000B1_include.mp3,1565658228950
manage,,,"quản lý, trông nom, xoay xở",,4000B1_manage.mp3,1565658228951
mystery,,,"điều huyền bí, điều bí ẩn",,4000B1_mystery.mp3,1565658228952
occur,,,"xảy ra, xảy đến",,4000B1_occur.mp3,1565658228953
opposite,,,"đối diện, đối nhau, ngược nhau",,4000B1_opposite.mp3,1565658228954
plate,,,đĩa (để đựng thức ăn),,4000B1_plate.mp3,1565658228955
receive,,,"nhận, lĩnh, thu",,4000B1_receive.mp3,1565658228956
reward,,,sự thưởng,,4000B1_reward.mp3,1565658228957
set,,,"thiết lập, để, đặt, bố trí",,4000B1_set.mp3,1565658228958
steal,,,"ăn cắp, ăn trộm",,4000B1_steal.mp3,1565658228959
thief,,,"kẻ trộm, kẻ cắp",,4000B1_thief.mp3,1565658228960
advance,,,"tiến lên, tiến tới, tiến bộ",,4000B1_advance.mp3,1565658228961
athlete,,,vận động viên,,4000B1_athlete.mp3,1565658228962
average,,,trung bình,,4000B1_average.mp3,1565658228963
behavior,,,cách cư xử,,4000B1_behavior.mp3,1565658228964
behind,,,đằng sau,,4000B1_behind.mp3,1565658228965
course,,,khoá học,,4000B1_course.mp3,1565658228966
lower,,,thấp hơn,,4000B1_lower.mp3,1565658228967
match,,,"hợp, xứng, trận đấu",,4000B1_match.mp3,1565658228968
member,,,"thành viên, hội viên",,4000B1_member.mp3,1565658228969
mental,,,"(thuộc) trí tuệ, tinh thần, tâm thần, thần kinh",,4000B1_mental.mp3,1565658228970
passenger,,,hành khách (đi tàu xe...),,4000B1_passenger.mp3,1565658228971
personality,,,"tính cách, nhân cách",,4000B1_personality.mp3,1565658228972
poem,,,"thơ, bài thơ",,4000B1_poem.mp3,1565658228973
pole,,,"cực, cái sào, cột",,4000B1_pole.mp3,1565658228974
remove,,,"bỏ ra, tháo ra, lấy ra, dời đi",,4000B1_remove.mp3,1565658228975
safety,,,"sự an toàn, sự chắc chắn",,4000B1_safety.mp3,1565658228976
shoot,,,bắn,,4000B1_shoot.mp3,1565658228977
sound,,,"kêu, vang tiếng, nghe như, nghe có vẻ, âm thanh",,4000B1_sound.mp3,1565658228978
swim,,,bơi,,4000B1_swim.mp3,1565658228979
web,,,"mạng (nhện), tơ (lông chim)",,4000B1_web.mp3,1565658228980
block,,,"khối, tảng, súc (đá, gỗ...)",,4000B1_block.mp3,1565658228981
cheer,,,"cổ vũ, tung hô",,4000B1_cheer.mp3,1565658228982
complex,,,"phức tạp, rắc rối",,4000B1_complex.mp3,1565658228983
critic,,,nhà phê bình,,4000B1_critic.mp3,1565658228984
event,,,"sự kiện, sự việc",,4000B1_event.mp3,1565658228985
exercise,,,"tập luyện, rèn luyện (thể dục thể thao)",,4000B1_exercise.mp3,1565658228986
fit,,,"vừa, thích hợp, phù hợp",,4000B1_fit.mp3,1565658228987
friendship,,,tình bạn,,4000B1_friendship.mp3,1565658228988
guide,,,"hướng dẫn viên, người chỉ dẫn",,4000B1_guide.mp3,1565658228989
lack,,,"thiếu, không có",,4000B1_lack.mp3,1565658228990
passage,,,"lối đi, sự đi qua, đoạn (bài văn, sách...)",,4000B1_passage.mp3,1565658228991
perform,,,"biểu diễn, trình bày, thực hiện",,4000B1_perform.mp3,1565658228992
pressure,,,áp lực,,4000B1_pressure.mp3,1565658228993
probable,,,"chắc hẳn , có lễ đúng",,4000B1_probable.mp3,1565658228994
public,,,"công cộng, công khai, công chúng",,4000B1_public.mp3,1565658228995
strike,,,"đánh, tấn công,",,4000B1_strike.mp3,1565658228996
support,,,"hỗ trợ, ủng hộ",,4000B1_support.mp3,1565658228997
task,,,"nhiệm vụ, công việc, bài tập, phận sự",,4000B1_task.mp3,1565658228998
term,,,"thời hạn, kỳ hạn, lời lẽ",,4000B1_term.mp3,1565658228999
unite,,,"đoàn kết, liên kết",,4000B1_unite.mp3,1565658229000
associate,,,"kết hợp, kết giao, liên hợp lại",,4000B1_associate.mp3,1565658229001
environment,,,môi trường,,4000B1_environment.mp3,1565658229002
factory,,,"nhà máy, xí nghiệp",,4000B1_factory.mp3,1565658229003
feature,,,"điểm đặc trưng, nét đặc biệt",,4000B1_feature.mp3,1565658229004
instance,,,"thí dụ, ví dụ",,4000B1_instance.mp3,1565658229005
involve,,,"dính líu, dính dáng (dạng bị động) để hết tâm trí vào (cái gì)",,4000B1_involve.mp3,1565658229006
medicine,,,thuốc,,4000B1_medicine.mp3,1565658229007
mix,,,"hỗn hợp, trộn lẫn",,4000B1_mix.mp3,1565658229008
organize,,,tổ chức,,4000B1_organize.mp3,1565658229009
period,,,"thời kỳ, giai đoạn",,4000B1_period.mp3,1565658229010
populate,,,"ở, cư trú",,4000B1_populate.mp3,1565658229011
produce,,,"sản xuất, ra quả",,4000B1_produce.mp3,1565658229012
range,,,"dải, phạm vi, khoảng",,4000B1_range.mp3,1565658229013
recognize,,,nhận ra,,4000B1_recognize.mp3,1565658229014
regular,,,"thường lệ, đều đặn",,4000B1_regular.mp3,1565658229015
sign,,,"dấu hiệu, ký hiệu; ký tên, ra hiệu",,4000B1_sign.mp3,1565658229016
tip,,,"đầu mút, tiền thưởng phục vụ",,4000B1_tip.mp3,1565658229017
tradition,,,truyền thống,,4000B1_tradition.mp3,1565658229018
trash,,,rác,,4000B1_trash.mp3,1565658229019
wide,,,"rộng, rộng lớn",,4000B1_wide.mp3,1565658229020
advice,,,lời khuyên,,4000B1_advice.mp3,1565658229021
along,,,dọc theo,,4000B1_along.mp3,1565658229022
attention,,,sự chú ý,,4000B1_attention.mp3,1565658229023
attract,,,"hấp dẫn, thu hút",,4000B1_attract.mp3,1565658229024
climb,,,"trèo, leo",,4000B1_climb.mp3,1565658229025
drop,,,"rơi, sụt giảm",,4000B1_drop.mp3,1565658229026
final,,,"cuối cùng, chung kết",,4000B1_final.mp3,1565658229027
further,,,"xa hơn, bên kia",,4000B1_further.mp3,1565658229028
imply,,,ý nói; ngụ ý,,4000B1_imply.mp3,1565658229029
maintain,,,duy trì,,4000B1_maintain.mp3,1565658229030
neither,,,...... nor không ... mà cũng không,,4000B1_neither.mp3,1565658229031
otherwise,,,"nếu không thì, mặt khác, cách khác",,4000B1_otherwise.mp3,1565658229032
physical,,,"(thuộc) vật lý, (thuộc) vật chất",,4000B1_physical.mp3,1565658229033
prove,,,chứng minh,,4000B1_prove.mp3,1565658229034
react,,,"phản ứng, đối phó",,4000B1_react.mp3,1565658229035
ride,,,cưỡi,,4000B1_ride.mp3,1565658229036
situated,,,"ở (một nơi, một tình thế, một hoàn cảnh)",,4000B1_situated.mp3,1565658229037
society,,,xã hội,,4000B1_society.mp3,1565658229038
standard,,,tiêu chuẩn,,4000B1_standard.mp3,1565658229039
suggest,,,"gợi ý, đề nghị",,4000B1_suggest.mp3,1565658229040
actually,,,"thực sự, quả thật",,4000B1_actually.mp3,1565658229041
bite,,,"cắn, ngoạm",,4000B1_bite.mp3,1565658229042
coast,,,bờ biển,,4000B1_coast.mp3,1565658229043
deal,,,giải quyết; đối phó; sự giao dịch,,4000B1_deal.mp3,1565658229044
desert,,,sa mạc,,4000B1_desert.mp3,1565658229045
earthquake,,,trận động đất,,4000B1_earthquake.mp3,1565658229046
effective,,,có hiệu quả,,4000B1_effective.mp3,1565658229047
examine,,,kiểm tra,,4000B1_examine.mp3,1565658229048
false,,,"sai, nhầm",,4000B1_false.mp3,1565658229049
gift,,,"quà tặng; tặng, biếu, cho",,4000B1_gift.mp3,1565658229050
hunger,,,"sự đói, tình trạng đói",,4000B1_hunger.mp3,1565658229051
imagine,,,"tưởng tượng, hình dung",,4000B1_imagine.mp3,1565658229052
journey,,,"cuộc hành trình, chuyến đi",,4000B1_journey.mp3,1565658229053
puzzle,,,"trò chơi đố; câu đố, vấn đề khó",,4000B1_puzzle.mp3,1565658229054
quite,,,"khá, hoàn toàn, hầu hết",,4000B1_quite.mp3,1565658229055
rather,,,thích... hơn,,4000B1_rather.mp3,1565658229056
specific,,,"rành mạch, rõ ràng",,4000B1_specific.mp3,1565658229057
tour,,,cuộc đi du lịch,,4000B1_tour.mp3,1565658229058
trip,,,chuyến đi,,4000B1_trip.mp3,1565658229059
value,,,giá trị,,4000B1_value.mp3,1565658229060
band,,,"ban nhạc, dải, băng, đai, nẹp",,4000B1_band.mp3,1565658229061
barely,,,"vừa đủ, rỗng không, nghèo nàn",,4000B1_barely.mp3,1565658229062
boring,,,"chán ngắt, buồn tẻ, sự khoan, sự đào",,4000B1_boring.mp3,1565658229063
cancel,,,"huỷ bỏ, bãi bỏ",,4000B1_cancel.mp3,1565658229064
driveway,,,đường lái xe vào nhà,,4000B1_driveway.mp3,1565658229065
garbage,,,rác,,4000B1_garbage.mp3,1565658229066
instrument,,,"dụng cụ, nhạc cụ",,4000B1_instrument.mp3,1565658229067
list,,,"danh sách; liệt kê, lập danh sách",,4000B1_list.mp3,1565658229068
magic,,,"phép thuật, ma thuật",,4000B1_magic.mp3,1565658229069
message,,,thông điệp; đưa tin,,4000B1_message.mp3,1565658229070
notice,,,"chú ý, để ý, báo trước",,4000B1_notice.mp3,1565658229071
own,,,sở hữu,,4000B1_own.mp3,1565658229072
predict,,,"đoán trước, dự đoán",,4000B1_predict.mp3,1565658229073
professor,,,giáo sư,,4000B1_professor.mp3,1565658229074
rush,,,"vội vã, đi gấp",,4000B1_rush.mp3,1565658229075
schedule,,,"thời gian biểu, thời khóa biểu (bản kế hoạch có thời gian)",,4000B1_schedule.mp3,1565658229076
share,,,"chia sẻ, cổ phần",,4000B1_share.mp3,1565658229077
stage,,,"sân khấu, giai đoạn",,4000B1_stage.mp3,1565658229078
storm,,,"dông tố, cơn bão",,4000B1_storm.mp3,1565658229079
within,,,"trong vòng, trong phạm vi, bên trong, phía trong",,4000B1_within.mp3,1565658229080
advertise,,,quảng cáo,,4000B1_advertise.mp3,1565658229081
assign,,,"phân việc, phân công",,4000B1_assign.mp3,1565658229082
audience,,,"thính giả, khán giả, bạn đọc",,4000B1_audience.mp3,1565658229083
breakfast,,,bữa ăn sáng,,4000B1_breakfast.mp3,1565658229084
competition,,,"sự cạnh tranh, cuộc thi",,4000B1_competition.mp3,1565658229085
cool,,,"mát mẻ, trầm tĩnh",,4000B1_cool.mp3,1565658229086
gain,,,tăng tốc (tốc độ...); lên (cân...),,4000B1_gain.mp3,1565658229087
importance,,,"sự quan trọng, tầm quan trọng",,4000B1_importance.mp3,1565658229088
knowledge,,,"kiến thức, tri thức",,4000B1_knowledge.mp3,1565658229089
major,,,"chính, chủ yếu, trọng đại",,4000B1_major.mp3,1565658229090
mean,,,"verb : nghĩa là, có nghĩa là adj : hèn hạ, bần tiện, kém cỏi, n óng tính ???",,4000B1_mean.mp3,1565658229091
prefer,,,"thích hơn, ưa hơn, đề bạt, đưa ra",,4000B1_prefer.mp3,1565658229092
president,,,"tổng thống, chủ tịch",,4000B1_president.mp3,1565658229093
progress,,,"noun&verb : tiến triển, tiến bộ, tiến hành",,4000B1_progress.mp3,1565658229094
respect,,,"noun&verb : tôn trọng, kính trọng, lưu tâm, chú ý",,4000B1_respect.mp3,1565658229095
rich,,,"giàu, giàu có",,4000B1_rich.mp3,1565658229096
skill,,,kỹ năng,,4000B1_skill.mp3,1565658229097
somehow,,,"vì lý do này khác, không biết làm sao",,4000B1_somehow.mp3,1565658229098
strength,,,"sức mạnh, sức lực, sức khoẻ",,4000B1_strength.mp3,1565658229099
vote,,,"bỏ phiếu, bầu cử",,4000B1_vote.mp3,1565658229100
above,,,"ở trên, trên đầu",,4000B1_above.mp3,1565658229101
ahead,,,"adv : thẳng phía trước adj : hơn, vượt",,4000B1_ahead.mp3,1565658229102
amount,,,"tổng giá trị (hợp đồng), tổng số (tiền)",,4000B1_amount.mp3,1565658229103
belief,,,"niềm tin, lòng tin, đức tin",,4000B1_belief.mp3,1565658229104
center,,,trung tâm,,4000B1_center.mp3,1565658229105
common,,,"thông thường, chung, phổ thông",,4000B1_common.mp3,1565658229106
cost,,,"chi phí, giá thành, phí tổn",,4000B1_cost.mp3,1565658229107
demonstrate,,,"chứng minh, giải thích, biểu lộ, biểu tình",,4000B1_demonstrate.mp3,1565658229108
different,,,"khác biệt, khác nhau",,4000B1_different.mp3,1565658229109
evidence,,,"chứng cớ, bằng chứng",,4000B1_evidence.mp3,1565658229110
honesty,,,"tính trung thực, tính lương thiện",,4000B1_honesty.mp3,1565658229111
idiom,,,thành ngữ,,4000B1_idiom.mp3,1565658229112
independent,,,"độc lập, không phụ thuộc",,4000B1_independent.mp3,1565658229113
inside,,,"bên trong, phía trong, phần trong",,4000B1_inside.mp3,1565658229114
master,,,"bậc thầy, thợ cả",,4000B1_master.mp3,1565658229115
memory,,,"trí nhớ, ký ức, sự tưởng nhớ",,4000B1_memory.mp3,1565658229116
proper,,,"thích đáng, thích hợp, đúng mực",,4000B1_proper.mp3,1565658229117
scan,,,"quét, nhìn chăm chú, đọc lướt",,4000B1_scan.mp3,1565658229118
section,,,"mặt cắt, lát cắt, đoạn (trong sách)",,4000B1_section.mp3,1565658229119
surface,,,bề mặt,,4000B1_surface.mp3,1565658229120
